ID	POST
14001	1
16701	1
7150	0
17121	1
7340	0
17681	1
19231	1
19301	1
12011	1
12051	1
13351	1
17341	1
2921	1
3271	1
9351	1
9361	1
9391	1
9441	1
9451	1
14881	1
14891	1
14901	1
6160	0
15241	1
19211	1
19291	1
7350	0
421	1
791	1
2781	1
690	0
720	0
850	0
920	0
930	0
3101	1
3151	1
8291	1
8391	1
3670	0
6051	1
6111	1
6491	1
11981	1
12001	1
12281	1
12881	1
12911	1
13101	1
13211	1
17321	1
2631	1
11941	1
11951	1
9281	1
9381	1
9731	1
9821	1
14851	1
15121	1
6280	0
6290	0
15171	1
19201	1
19221	1
7360	0
7380	0
7390	0
7420	0
7450	0
19311	1
19331	1
19341	1
19351	1
19421	1
19471	1
19861	1
7460	0
381	1
831	1
1001	1
3571	1
3621	1
7251	1
5961	1
5981	1
1890	0
6061	1
6101	1
6311	1
6321	1
7071	1
7191	1
7221	1
7411	1
8271	1
11971	1
17291	1
17311	1
17331	1
17431	1
17451	1
17531	1
17551	1
17571	1
17641	1
17781	1
17791	1
7060	0
17951	1
18311	1
2381	1
4171	1
1330	0
1440	0
1510	0
1650	0
1900	0
4261	1
1320	0
4271	1
1150	0
1730	0
1920	0
4080	0
4321	1
1160	0
4681	1
1310	0
1560	0
4701	1
4961	1
5011	1
5521	1
5771	1
5791	1
5901	1
6011	1
6191	1
6371	1
7791	1
2480	0
8021	1
8521	1
8611	1
9251	1
9271	1
14741	1
14801	1
14841	1
15321	1
15601	1
16841	1
19171	1
291	1
341	1
30	0
40	0
431	1
441	1
801	1
1051	1
3691	1
7381	1
5951	1
6151	1
11911	1
17231	1
17261	1
17271	1
17301	1
17461	1
17491	1
17591	1
2171	1
2691	1
800	0
2711	1
2771	1
9211	1
9481	1
9541	1
9681	1
4250	0
9701	1
3450	0
9881	1
9901	1
10981	1
4750	0
11171	1
11231	1
11281	1
12641	1
14681	1
19081	1
20141	1
20201	1
20351	1
7610	0
7620	0
7680	0
20521	1
281	1
941	1
971	1
2141	1
4851	1
8111	1
8131	1
5931	1
6121	1
1940	0
7031	1
8261	1
2630	0
2650	0
8401	1
11901	1
14021	1
14421	1
17211	1
17241	1
17251	1
7050	0
17281	1
17411	1
17541	1
6990	0
7000	0
17601	1
17861	1
17911	1
18021	1
18041	1
18081	1
18281	1
7190	0
18291	1
2051	1
2281	1
1810	0
2180	0
2961	1
1820	0
3211	1
3301	1
1830	0
3741	1
1760	0
1790	0
4041	1
4051	1
1800	0
4091	1
4391	1
4421	1
4981	1
5071	1
1840	0
5851	1
1960	0
6201	1
1850	0
1930	0
1950	0
6381	1
2150	0
9081	1
9291	1
3120	0
3170	0
3180	0
3190	0
3210	0
9331	1
3290	0
3350	0
3440	0
9371	1
3700	0
9561	1
9611	1
9671	1
3260	0
3360	0
9741	1
3370	0
3390	0
3410	0
3420	0
3430	0
3470	0
9841	1
3520	0
3620	0
9911	1
3600	0
3610	0
9981	1
3730	0
3750	0
9991	1
10171	1
10431	1
3810	0
3830	0
10591	1
10611	1
14651	1
14661	1
14701	1
14811	1
14821	1
14831	1
19071	1
19121	1
19701	1
19771	1
20731	1
21101	1
7870	0
271	1
361	1
401	1
821	1
1251	1
830	0
1590	0
3501	1
870	0
5641	1
9871	1
5970	0
11211	1
12991	1
13411	1
13761	1
13781	1
14481	1
5921	1
6131	1
11881	1
11891	1
12651	1
5070	0
5410	0
5540	0
12831	1
5200	0
5220	0
13171	1
5210	0
5230	0
5910	0
5920	0
17161	1
2041	1
2431	1
2761	1
2821	1
3121	1
3521	1
3591	1
3651	1
3661	1
3751	1
3771	1
960	0
2080	0
3821	1
4121	1
4501	1
5631	1
6361	1
6611	1
9061	1
9101	1
2940	0
2960	0
14631	1
16741	1
18981	1
19871	1
7500	0
7540	0
7550	0
20031	1
7570	0
20421	1
241	1
411	1
60	0
70	0
80	0
861	1
6620	0
15851	1
5781	1
9651	1
13031	1
15571	1
16911	1
18141	1
19031	1
20711	1
11851	1
17111	1
17141	1
17631	1
17851	1
2021	1
9021	1
9041	1
3220	0
3380	0
9621	1
13661	1
14501	1
18961	1
19141	1
231	1
501	1
771	1
5751	1
11801	1
11811	1
4230	0
11821	1
4710	0
12211	1
5180	0
5610	0
12661	1
17031	1
17061	1
6870	0
2011	1
8981	1
9141	1
9431	1
14491	1
14611	1
14691	1
6050	0
6130	0
6150	0
14981	1
6190	0
15011	1
6610	0
15361	1
18941	1
221	1
331	1
471	1
1801	1
2101	1
740	0
3681	1
5741	1
5911	1
6251	1
6281	1
6411	1
6561	1
11091	1
12291	1
4890	0
11791	1
11841	1
4340	0
11921	1
4330	0
4410	0
4450	0
4470	0
12131	1
12151	1
4590	0
12421	1
4740	0
4960	0
12781	1
5040	0
17011	1
17081	1
1981	1
8931	1
8941	1
8971	1
9051	1
3080	0
9301	1
9311	1
3110	0
3130	0
14461	1
14471	1
14551	1
14781	1
15621	1
6590	0
15671	1
