ID	DIC	FILLERS	
10511	54.0541	0.0000	
3840	100.0000	0.0000	
10531	64.1026	0.0000	
15781	68.4211	0.0000	
17871	69.6078	0.0000	
20241	67.6190	0.0000	
20391	87.0968	0.0000	
7630	85.3659	0.0000	
1041	71.9298	0.0000	
1081	69.2308	0.0000	
120	80.0000	0.0000	
140	92.8571	0.0000	
1101	74.1379	0.0000	
160	80.5556	0.0000	
230	100.0000	0.0000	
7321	89.7436	0.0000	
7331	82.3529	0.0000	
7351	100.0000	0.0000	
7451	88.8889	0.0000	
7501	86.2069	0.0000	
7631	71.4286	0.0000	
13041	83.9416	0.0000	
13071	86.2500	0.0000	
5490	90.9091	0.0000	
13361	88.7097	0.0000	
14961	89.1304	0.0000	
18121	71.7391	0.0000	
4601	81.2500	0.0000	
10471	86.5979	0.0000	
11651	79.5031	0.0000	
11991	69.9301	0.0000	
4430	75.0000	0.0000	
12381	72.3684	0.0000	
12391	83.3333	0.0000	
4770	86.3636	0.0000	
6330	72.0000	0.0000	
6950	86.9347	0.0000	
6960	83.7104	0.0000	
6980	79.7101	0.0000	
14751	86.4706	0.0000	
6180	79.4872	0.0000	
6200	76.4706	0.0000	
6730	90.6250	0.0000	
16191	81.2500	0.0000	
16321	77.7778	0.0000	
16861	88.7500	0.0000	
17181	85.0746	0.0000	
7030	88.6598	0.0000	
17581	83.8323	0.0000	
7020	74.1935	0.0000	
7040	86.7403	0.0000	
17691	90.1961	0.0000	
15741	71.6814	0.0000	
15761	59.0909	0.0000	
15791	90.6250	0.0000	
15801	100.0000	0.0000	
6820	93.1818	0.0000	
15971	80.0000	0.0000	
15991	80.9524	0.0000	
6710	89.7959	0.0000	
6830	78.0000	0.0000	
16001	75.3623	0.0000	
6700	80.9524	0.0000	
18131	86.6667	0.0000	
20171	84.4660	0.0000	
1031	89.0909	0.0000	
1261	76.4706	0.0000	
1271	78.5714	0.0000	
1681	70.0000	0.0000	
560	63.6364	0.0000	
880	94.1176	0.0000	
1640	88.8889	0.0000	
1980	83.3333	0.0000	
1701	76.0000	0.0000	
2050	88.8889	0.0000	
1791	73.3333	0.0000	
450	62.5000	0.0000	
990	100.0000	0.0000	
1370	42.6667	0.0000	
1851	64.7059	0.0000	
1891	82.3529	0.0000	
460	90.0000	0.0000	
1030	76.2500	0.0000	
1931	64.7059	0.0000	
890	80.9524	0.0000	
1941	78.5714	0.0000	
1040	78.1818	0.0000	
1110	70.1754	0.0000	
1740	80.3030	0.0000	
1991	75.0000	0.0000	
2031	77.2727	0.0000	
2181	80.7692	0.0000	
1060	94.4444	0.0000	
2231	92.1053	0.0000	
2241	76.4706	0.0000	
2251	75.0000	0.0000	
2261	81.4433	0.0000	
2301	82.2581	0.0000	
1070	66.6667	0.0000	
1530	50.0000	0.0000	
2321	76.0000	0.0000	
900	80.0000	0.0000	
970	88.8889	0.0000	
2331	85.1852	0.0000	
580	88.8889	0.0000	
590	54.5455	0.0000	
1340	64.9123	0.0000	
1630	78.2609	0.0000	
2351	78.7234	0.0000	
2361	70.5882	0.0000	
1670	85.7143	0.0000	
2371	74.0741	0.0000	
2411	81.6901	0.0000	
2461	76.1905	0.0000	
2501	74.6032	0.0000	
2511	60.5263	0.0000	
2521	73.6842	0.0000	
2531	81.4815	0.0000	
2541	85.4545	0.0000	
2551	86.9565	0.0000	
2591	70.8333	0.0000	
2611	76.9231	0.0000	
2661	80.0000	0.0000	
2701	77.7778	0.0000	
2871	88.7097	0.0000	
2891	77.0833	0.0000	
2901	66.6667	0.0000	
1970	56.0976	0.0000	
2931	73.6842	0.0000	
2941	50.0000	0.0000	
2951	64.4444	0.0000	
2971	78.5714	0.0000	
2981	77.2727	0.0000	
700	66.6667	0.0000	
2991	58.7302	0.0000	
3001	83.4862	0.0000	
3011	85.2941	0.0000	
3021	85.9375	0.0000	
810	33.3333	0.0000	
3031	89.4737	0.0000	
3051	75.0000	0.0000	
3061	76.9231	0.0000	
3071	82.0513	0.0000	
820	50.0000	0.0000	
3081	86.4865	0.0000	
3131	82.5581	0.0000	
3141	72.0000	0.0000	
1660	76.0000	0.0000	
3181	71.8750	0.0000	
3201	69.5652	0.0000	
980	68.4211	0.0000	
1290	54.5455	0.0000	
3251	84.3137	0.0000	
3291	72.5490	0.0000	
3361	82.6923	0.0000	
3381	80.2326	0.0000	
910	76.0000	0.0000	
1420	63.8889	0.0000	
3431	75.5906	0.0000	
3461	79.6610	0.0000	
3481	73.9130	0.0000	
3491	65.2174	0.0000	
3551	82.0896	0.0000	
3581	84.4444	0.0000	
3611	83.7500	0.0000	
3641	76.0870	0.0000	
3671	78.3133	0.0000	
3801	95.2381	0.0000	
3831	77.5000	0.0000	
3861	75.0000	0.0000	
3891	75.8621	0.0000	
3911	71.6981	0.0000	
1000	72.4138	0.0000	
1020	67.7778	0.0000	
3951	75.7576	0.0000	
1080	88.4615	0.0000	
1120	95.0000	0.0000	
3961	81.4815	0.0000	
3971	89.0909	0.0000	
4001	79.7753	0.0000	
4061	72.2222	0.0000	
4071	66.6667	0.0000	
4081	88.0000	0.0000	
4161	83.3333	0.0000	
4181	73.6111	0.0000	
4221	76.9231	0.0000	
4281	86.2069	0.0000	
4291	72.7273	0.0000	
4761	78.2609	0.0000	
4811	73.6842	0.0000	
5361	78.7129	0.0000	
5411	77.5862	0.0000	
5541	81.1321	0.0000	
5711	85.7143	0.0000	
5811	89.1304	0.0000	
5971	85.5556	0.0000	
6001	74.3590	0.0000	
6021	73.3333	0.0000	
6031	72.9730	0.0000	
6071	77.1429	0.0000	
6241	83.0508	0.0000	
6291	82.5397	0.0000	
6351	76.2712	0.0000	
6401	76.6990	0.0000	
6421	86.6667	0.0000	
6451	74.2424	0.0000	
6581	75.6272	0.0000	
6701	84.9057	0.0000	
6711	85.0000	0.0000	
6731	79.4118	0.0000	
6821	79.6610	0.0000	
6841	81.8182	0.0000	
6871	75.3425	0.0000	
6881	83.7398	0.0000	
6891	84.8485	0.0000	
7311	64.6154	0.0000	
8481	78.5714	0.0000	
12731	87.5000	0.0000	
12931	75.0000	0.0000	
14931	72.6190	0.0000	
18091	57.1429	0.0000	
4591	86.2069	0.0000	
10401	86.1111	0.0000	
15661	65.7895	0.0000	
15681	84.8485	0.0000	
15771	66.1290	0.0000	
20111	84.9057	0.0000	
20491	76.1905	0.0000	
20581	66.6667	0.0000	
20721	77.7778	0.0000	
20811	91.4062	0.0000	
22051	88.4211	0.0000	
1011	76.0000	0.0000	
7301	54.9020	0.0000	
7901	82.0513	0.0000	
2530	77.7778	0.0000	
2540	84.6154	0.0000	
8201	90.9091	0.0000	
12871	82.7338	0.0000	
12981	71.7073	0.0000	
13021	41.2270	0.0000	
5190	70.1149	0.0000	
13921	72.9730	0.0000	
18031	83.3333	0.0000	
4571	74.4526	0.0000	
5431	90.0000	0.0000	
5461	62.5000	0.0000	
10341	84.0000	0.0000	
10351	83.3333	0.0000	
15651	84.2932	0.0000	
20091	64.0000	0.0000	
21531	92.4051	0.0000	
21611	76.9231	0.0000	
911	59.5745	0.0000	
931	57.8947	0.0000	
7261	68.1818	0.0000	
12801	91.5663	0.0000	
12821	82.3529	0.0000	
5060	87.5000	0.0000	
5080	83.8710	0.0000	
12841	84.7826	0.0000	
13851	100.0000	0.0000	
18001	78.9474	0.0000	
18101	84.4444	0.0000	
18301	79.2453	0.0000	
7180	61.4458	0.0000	
18461	86.2069	0.0000	
18481	89.4737	0.0000	
4491	88.4211	0.0000	
6541	78.4615	0.0000	
10251	73.5294	0.0000	
10291	81.9444	0.0000	
10331	83.2258	0.0000	
3910	66.6667	0.0000	
4010	82.8431	0.0000	
10661	71.1111	0.0000	
3920	77.7778	0.0000	
3930	83.0189	0.0000	
10691	73.1343	0.0000	
3940	83.8710	0.0000	
10741	81.7814	0.0000	
3950	75.0000	0.0000	
10881	88.7097	0.0000	
10961	88.5496	0.0000	
3980	92.8571	0.0000	
4000	80.6452	0.0000	
10991	81.5951	0.0000	
15581	80.3279	0.0000	
19991	71.4286	0.0000	
811	73.0769	0.0000	
1281	86.0465	0.0000	
410	83.3333	0.0000	
1471	71.5686	0.0000	
420	50.0000	0.0000	
2391	84.6154	0.0000	
8101	88.6792	0.0000	
2560	50.0000	0.0000	
7231	63.1579	0.0000	
7281	72.7273	0.0000	
7291	73.9130	0.0000	
7471	85.0000	0.0000	
7481	68.4211	0.0000	
7511	88.6364	0.0000	
7601	56.4516	0.0000	
2310	69.4444	0.0000	
2380	86.0000	0.0000	
2450	77.7778	0.0000	
7641	80.0000	0.0000	
7681	71.4286	0.0000	
2370	82.3529	0.0000	
2400	100.0000	0.0000	
7811	90.9091	0.0000	
7951	83.3333	0.0000	
2770	86.1538	0.0000	
2920	85.7143	0.0000	
8051	100.0000	0.0000	
12761	66.9725	0.0000	
12921	76.9231	0.0000	
5140	80.0000	0.0000	
5660	80.0000	0.0000	
12941	87.5000	0.0000	
5170	80.0000	0.0000	
13061	83.3333	0.0000	
13221	80.0000	0.0000	
13241	75.0000	0.0000	
13711	84.6154	0.0000	
13741	93.3333	0.0000	
13771	50.0000	0.0000	
13891	93.7500	0.0000	
13901	78.5714	0.0000	
13931	70.5882	0.0000	
13941	91.6667	0.0000	
13971	92.9487	0.0000	
14261	82.3529	0.0000	
14321	75.8621	0.0000	
14331	0.0000	0.0000	
14451	88.2353	0.0000	
14521	86.2069	0.0000	
14591	84.6154	0.0000	
14621	81.8182	0.0000	
15951	80.6452	0.0000	
6670	82.3529	0.0000	
6680	90.0000	0.0000	
6690	65.2174	0.0000	
16131	84.3137	0.0000	
16261	41.6667	0.0000	
17971	63.6364	0.0000	
18221	50.0000	0.0000	
4301	74.5455	0.0000	
4341	77.2727	0.0000	
10231	84.4828	0.0000	
15531	69.3878	0.0000	
19961	90.0000	0.0000	
20021	82.8571	0.0000	
20271	90.9091	0.0000	
731	78.3784	0.0000	
