ID	VOTES
2151	0
3931	0
4511	0
1620	0
5731	0
8461	0
10821	0
10891	0
4270	0
12321	0
12541	0
4930	0
12551	0
7201	0
7241	-2
3650	1
7541	14
2410	5
7621	4
7841	2
4050	0
7851	1
9801	3
3480	0
3660	1
3960	0
9961	3
10111	0
10121	0
10131	0
10321	5
3790	1
11041	0
4040	-1
12671	3
17921	0
17931	2
17981	0
4191	0
10021	0
10271	0
10421	0
10791	0
10921	0
10941	0
11151	0
13681	0
14101	0
15441	1
15511	1
6420	3
6440	0
15541	0
19911	0
691	1
7171	0
11251	2
11391	0
12571	1
12611	-1
17891	0
18011	0
18061	0
4111	0
9951	0
10071	0
10091	0
3640	0
3690	0
3720	0
3990	0
15431	0
15461	4
15521	4
19831	1
20051	0
681	0
981	0
1881	0
440	0
7131	-1
20431	-1
20441	2
12491	0
17881	1
4101	0
4131	2
4311	0
4351	1
1350	0
1390	0
15371	0
15641	0
19801	4
20041	3
20071	2
20101	2
20641	3
641	0
711	0
841	1
891	3
5031	0
1400	1
2090	0
2200	0
7091	0
2120	0
2210	0
6530	0
7271	4
6991	0
7011	0
7341	0
7881	0
12471	0
12721	0
12811	0
7200	0
18551	0
17741	32
17801	5
7230	1
17901	1
18321	2
18361	2
18651	1
18741	1
18781	3
3981	0
9831	0
15271	19
15291	2
15611	0
15631	1
15691	0
15821	0
16011	1
6800	0
16731	0
17731	0
19671	1
19681	0
19711	9
7440	0
7590	1
19741	7
7600	2
7670	0
19761	0
19781	5
19791	0
7470	1
7490	1
611	2
651	1
110	0
500	0
741	0
100	0
1781	0
490	0
6921	1
7041	0
7051	0
12451	5
12631	0
17651	5
17701	0
17721	0
17821	0
7130	2
7250	0
17831	0
7080	0
18051	2
7120	0
18371	1
7210	0
18431	0
7220	0
7240	0
7260	0
18831	0
3941	0
5051	0
9811	0
12951	0
13251	0
13271	0
14071	0
15261	0
15401	0
15251	0
19621	9
19841	1
601	1
951	1
1541	0
1551	1
2451	0
6901	1
6931	0
7021	1
7701	0
7771	0
12361	0
17621	1
17661	1
17671	1
17771	1
7290	0
18991	0
19021	1
7330	0
19041	1
3701	13
4031	7
12201	6
12501	2
12511	3
4860	1
5160	1
12621	3
4980	0
5020	0
5150	0
12851	6
5620	1
12961	3
13581	4
5730	2
5860	4
13821	1
6380	0
6400	1
6410	1
14241	2
15311	1
15331	0
21061	-1
9781	4
9851	-1
9861	4
3630	0
10081	2
15211	5
15301	5
15411	1
6360	3
15591	3
16871	2
7090	0
7100	0
16921	0
21071	-1
19591	9
19651	0
19721	0
19811	1
20011	3
581	0
661	0
2741	0
6801	0
12311	3
12591	1
13111	0
5350	0
5360	0
7810	0
13151	0
5340	0
17611	9
17711	4
17751	1
7640	0
7650	0
17941	2
17991	0
7660	0
20611	5
7700	5
7710	3
20631	10
20701	9
3601	0
3781	1
950	0
6591	1
2000	0
6631	0
9661	1
9691	20
3400	1
3770	0
3780	0
9711	0
10281	1
10301	0
10441	0
15181	4
15201	2
6320	2
6770	1
7070	-1
16941	1
17001	2
17171	3
6890	-2
6900	1
6920	-1
17191	2
17841	2
18731	0
19561	4
19751	2
551	12
3041	2
680	1
3761	4
1360	7
1880	0
4441	0
1220	2
4641	1
4920	0
4651	3
3740	0
4801	0
5181	1
7101	0
7141	3
2240	0
12531	0
12601	0
18841	0
6781	16
10031	2
10061	2
10381	2
12161	11
12171	1
5260	0
12221	1
12231	2
4940	1
12261	10
4600	1
4760	1
5090	0
5240	0
5250	0
5270	0
5470	1
12271	1
12351	1
12411	1
12461	2
12581	2
12691	1
5010	0
5280	2
5480	1
5810	0
12711	2
12751	1
12891	0
5120	0
5130	0
13201	2
13321	1
13591	-1
17501	0
3371	0
3411	0
1990	2
3451	0
1460	1
9641	1
15131	0
15151	0
15161	0
6270	0
15191	0
6300	0
19481	1
19731	1
21851	0
7900	1
541	1
751	0
6681	2
6721	2
6751	0
6771	0
12071	1
12181	0
12701	1
17481	0
3311	0
3321	0
3991	0
4211	4
4411	0
4471	0
4661	0
4831	1
4861	0
4871	0
4901	0
4911	0
5681	0
5721	0
1610	0
5861	0
9551	13
10311	4
10361	1
15091	0
19431	2
19451	2
19491	1
19501	0
19521	0
19531	0
19541	0
7400	1
19551	1
19581	3
7520	0
7530	0
20001	0
20511	0
7690	0
20691	0
531	1
761	0
6441	4
8571	2
8641	1
8751	1
8871	1
9491	1
9921	1
10161	1
10191	1
10201	1
10211	1
10221	1
10241	0
10771	0
10801	0
10871	0
11121	0
11161	0
11771	0
21841	0
22041	0
22151	0
12061	2
12091	0
12101	5
12111	0
12401	1
13011	0
14301	0
14671	0
14711	1
17471	0
3231	0
9531	0
9761	0
15021	0
15031	0
15051	0
6220	0
6230	0
6240	3
6430	1
15341	0
6450	0
15381	2
15471	0
15481	-2
6370	2
6390	2
16461	2
19411	2
19881	0
7480	0
19901	2
19931	0
20381	1
521	3
591	15
901	2
1571	0
2341	0
4331	-1
6331	0
6341	0
6481	0
6661	2
12041	3
12081	2
12121	0
12191	1
17361	6
17421	3
17441	0
3221	2
3421	0
1450	0
3441	2
1240	2
4011	1
1280	0
4141	5
1200	2
1250	3
4381	1
4541	2
1260	0
4611	2
1270	0
1300	5
1700	0
4631	2
5171	0
5231	2
1490	0
1500	0
1580	0
1680	0
1860	0
5491	1
1570	0
1780	0
5551	1
1710	0
5561	2
1770	0
6141	1
6511	0
7061	1
8331	0
12971	0
9501	0
9721	2
3530	0
3580	3
14991	3
15141	1
15281	2
15711	1
15861	0
16301	0
6750	0
19371	0
19391	1
511	0
571	0
2421	0
6261	1
12031	14
13001	4
18151	5
18241	3
19321	3
19381	1
7410	0
17351	2
17811	0
20771	0
3191	0
9401	2
9631	1
9771	0
9791	0
3900	0
14941	0
15061	2
15071	2
15081	0
19361	0
461	1
491	1
781	0
6211	13
6601	0
6641	5
7001	3
2060	4
2260	1
7421	3
2280	1
7741	0
8841	0
13491	0
13691	0
14001	6
16701	0
7150	1
17121	1
7340	1
17681	2
19231	0
19301	1
12011	0
12051	0
13351	0
17341	0
2921	0
3271	4
9351	0
9361	0
9391	0
9441	1
9451	0
14881	1
14891	0
14901	0
6160	1
15241	0
19211	2
19291	2
7350	2
421	5
791	0
2781	2
690	0
720	0
850	1
920	2
930	0
3101	0
3151	0
8291	0
8391	0
3670	0
6051	0
6111	1
6491	1
11981	0
12001	1
12281	0
12881	0
12911	0
13101	1
13211	0
17321	5
2631	0
11941	0
11951	0
9281	1
9381	0
9731	2
9821	0
14851	1
15121	0
6280	1
6290	0
15171	0
19201	2
19221	12
7360	0
7380	0
7390	1
7420	1
7450	0
19311	0
19331	0
19341	0
19351	0
19421	1
19471	0
19861	3
7460	0
381	1
831	0
1001	0
3571	0
3621	0
7251	0
5961	2
5981	7
1890	1
6061	1
6101	2
6311	0
6321	4
7071	3
7191	0
7221	0
7411	0
8271	2
11971	0
17291	30
17311	4
17331	3
17431	2
17451	3
17531	3
17551	4
17571	3
17641	0
17781	1
17791	1
7060	1
17951	0
18311	0
2381	80
4171	1
1330	0
1440	1
1510	1
1650	1
1900	1
4261	1
1320	0
4271	1
1150	1
1730	1
1920	1
4080	0
4321	4
1160	2
4681	2
1310	3
1560	1
4701	1
4961	1
5011	1
5521	1
5771	1
5791	1
5901	1
6011	1
6191	1
6371	1
7791	1
2480	0
8021	1
8521	1
8611	1
9251	0
9271	2
14741	1
14801	2
14841	2
15321	1
15601	1
16841	1
19171	2
291	2
341	0
30	0
40	0
431	0
441	0
801	0
1051	0
3691	0
7381	0
5951	-1
6151	1
11911	0
17231	7
17261	0
17271	0
17301	0
17461	0
17491	0
17591	0
2171	1
2691	1
