ID	FIRST	PREV	AVG	MIN	MAX	STDEV
20681	0.0444	0.0444	0.0444	0.0444	0.0444	0.0000
7770	0.1363	0.1729	0.1546	0.1363	0.1729	0.0258
20801	0.1252	0.2506	0.2572	0.1252	0.3957	0.1354
20881	0.1367	0.3433	0.2663	0.1350	0.4502	0.1568
20891	0.2875	0.3647	0.3197	0.2268	0.3852	0.0636
21001	0.1219	0.3748	0.2895	0.1015	0.4681	0.1473
7800	0.1630	0.5105	0.3716	0.1630	0.5105	0.1182
1141	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4531	0.1449	0.1449	0.1449	0.1449	0.1449	0.0000
7571	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7651	0.0087	0.0087	0.0087	0.0087	0.0087	0.0000
2740	0.0036	0.5727	0.2882	0.0036	0.5727	0.4024
8421	0.0362	0.0856	0.0472	0.0199	0.0856	0.0342
8431	0.0329	0.1412	0.0778	0.0329	0.1412	0.0470
8441	0.1014	0.1178	0.0778	0.0155	0.1374	0.0577
10041	0.0525	0.3686	0.0846	0.0014	0.3686	0.1408
13381	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13421	0.2270	0.2270	0.2270	0.2270	0.2270	0.0000
5400	0.1046	0.4137	0.2592	0.1046	0.4137	0.2186
18251	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18341	0.0476	0.0476	0.0476	0.0476	0.0476	0.0000
18401	0.0739	0.0287	0.0513	0.0287	0.0739	0.0319
18411	0.0514	0.1254	0.1366	0.0514	0.2329	0.0913
4921	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5041	0.0013	0.0013	0.0013	0.0013	0.0013	0.0000
1480	0.2624	0.0127	0.1376	0.0127	0.2624	0.1766
5131	0.1871	0.0085	0.1287	0.0085	0.1906	0.1041
5311	0.1202	0.0555	0.1259	0.0555	0.2660	0.0978
5341	0.1361	0.2615	0.1345	0.0012	0.2615	0.1202
6501	0.3033	0.1068	0.1550	0.0079	0.3033	0.1181
6551	0.0002	0.0110	0.0019	0.0002	0.0110	0.0040
10541	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10551	0.1589	0.1589	0.1589	0.1589	0.1589	0.0000
10931	0.1207	0.0937	0.1072	0.0937	0.1207	0.0191
11021	0.1498	0.0741	0.0883	0.0411	0.1498	0.0557
4090	0.1600	0.1373	0.1284	0.0800	0.1600	0.0341
11501	0.1932	0.1174	0.1235	0.0970	0.1932	0.0397
11521	0.1581	0.0442	0.0903	0.0442	0.1581	0.0380
4110	0.1273	0.2268	0.1335	0.0546	0.2268	0.0653
4650	0.1021	0.1726	0.1070	0.0463	0.1823	0.0513
4720	0.1761	0.1865	0.1351	0.0785	0.1865	0.0420
11781	0.0796	0.1258	0.0709	0.0287	0.1258	0.0364
11961	0.2229	0.0538	0.1226	0.0319	0.2229	0.0588
12331	0.1575	0.1838	0.0996	0.0389	0.1838	0.0467
4730	0.1913	0.2029	0.0573	0.0016	0.2384	0.0887
12441	0.1595	0.0015	0.0807	0.0015	0.1989	0.0597
15931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18971	0.1282	0.1282	0.1282	0.1282	0.1282	0.0000
7940	0.0679	0.4553	0.2616	0.0679	0.4553	0.2739
19011	0.0295	0.1791	0.1314	0.0295	0.1854	0.0882
