ID	TOTAL PRON	AUXILIARY VERBS	1ST SINGULAR	3RD PLURAL	UNIQUE	NUMBERS	PREPOSITIONS	TOTAL 2ND	CONJUNCTIONS	ARTICLES	SWEAR WORDS	ABBREVIATIONS	1ST PLURAL	FUNCTION WORDS	3RD SINGULAR	SIXLTR	FUTURE TENSE	PERSONAL PRON	QUANTIFIERS	WPS	PRESENT TENSE	NEGATIONS	IMPERSONAL PRON	ADVERBS	PAST TENSE	COMMON VERBS	
5561	8.7912	9.8901	2.1978	0.0000	63.7363	0.0000	12.0879	1.0989	3.2967	15.3846	0.0000	0.0000	0.0000	57.1429	0.0000	25.2747	5.4945	3.2967	5.4945	30.3333	4.3956	0.0000	5.4945	5.4945	0.0000	10.9890	
1770	7.6923	7.6923	7.6923	0.0000	100.0000	0.0000	7.6923	0.0000	0.0000	7.6923	0.0000	0.0000	0.0000	38.4615	0.0000	38.4615	0.0000	7.6923	0.0000	6.5000	7.6923	0.0000	0.0000	7.6923	0.0000	15.3846	
6141	6.7797	11.0169	0.8475	0.0000	76.2712	0.0000	14.4068	1.6949	5.0847	9.3220	0.0000	0.0000	0.0000	55.0847	0.0000	17.7966	4.2373	2.5424	2.5424	23.6000	8.4746	0.8475	4.2373	6.7797	2.5424	19.4915	
6511	7.5949	5.0633	2.5316	3.7975	79.7468	0.0000	12.6582	0.0000	6.3291	8.8608	0.0000	0.0000	0.0000	48.1013	0.0000	31.6456	0.0000	6.3291	6.3291	15.8000	5.0633	0.0000	1.2658	5.0633	2.5316	7.5949	
7061	3.3898	3.3898	1.6949	0.0000	86.4407	0.0000	11.8644	0.0000	10.1695	6.7797	0.0000	0.0000	1.6949	50.8475	0.0000	32.2034	0.0000	3.3898	5.0847	59.0000	1.6949	1.6949	0.0000	10.1695	5.0847	6.7797	
8331	10.7955	9.0909	0.0000	2.2727	57.9545	0.5682	17.6136	0.0000	2.8409	5.6818	0.0000	0.0000	0.0000	52.2727	0.0000	26.1364	2.2727	2.2727	2.2727	29.3333	4.5455	1.7045	8.5227	2.2727	1.7045	10.7955	
12971	7.7465	9.1549	0.0000	3.5211	68.3099	1.4085	14.0845	0.0000	8.4507	6.3380	0.0000	0.0000	0.0000	59.8592	0.0000	19.0141	2.1127	3.5211	6.3380	35.5000	7.7465	2.1127	4.2254	8.4507	0.0000	11.2676	
9501	8.9744	3.8462	0.0000	0.0000	69.2308	1.2821	12.8205	1.2821	7.6923	7.6923	0.0000	0.0000	2.5641	47.4359	0.0000	23.0769	2.5641	3.8462	5.1282	39.0000	0.0000	1.2821	5.1282	2.5641	0.0000	3.8462	
9721	22.7273	13.6364	9.0909	0.0000	95.4545	0.0000	13.6364	4.5455	4.5455	0.0000	0.0000	0.0000	0.0000	63.6364	0.0000	9.0909	0.0000	13.6364	4.5455	7.3333	4.5455	0.0000	9.0909	9.0909	9.0909	18.1818	
3530	16.6667	4.1667	4.1667	0.0000	87.5000	0.0000	16.6667	4.1667	4.1667	12.5000	0.0000	0.0000	0.0000	58.3333	0.0000	20.8333	4.1667	8.3333	4.1667	8.0000	16.6667	0.0000	8.3333	0.0000	0.0000	20.8333	
3580	9.0909	0.0000	9.0909	0.0000	100.0000	0.0000	9.0909	0.0000	9.0909	0.0000	0.0000	0.0000	0.0000	36.3636	0.0000	27.2727	0.0000	9.0909	9.0909	11.0000	0.0000	0.0000	0.0000	9.0909	0.0000	0.0000	
14991	17.2414	6.8966	10.3448	0.0000	89.6552	3.4483	13.7931	0.0000	3.4483	6.8966	0.0000	0.0000	0.0000	55.1724	0.0000	13.7931	0.0000	10.3448	3.4483	9.6667	3.4483	3.4483	6.8966	3.4483	0.0000	6.8966	
15141	24.0000	8.0000	12.0000	0.0000	84.0000	0.0000	12.0000	0.0000	4.0000	8.0000	0.0000	0.0000	0.0000	68.0000	0.0000	16.0000	0.0000	12.0000	4.0000	12.5000	0.0000	4.0000	12.0000	4.0000	16.0000	16.0000	
15281	12.1212	0.0000	6.0606	0.0000	90.9091	3.0303	18.1818	0.0000	6.0606	15.1515	0.0000	0.0000	0.0000	54.5455	0.0000	18.1818	0.0000	6.0606	0.0000	11.0000	0.0000	0.0000	6.0606	3.0303	6.0606	6.0606	
15711	13.5135	5.4054	8.1081	0.0000	83.7838	0.0000	10.8108	0.0000	8.1081	8.1081	0.0000	0.0000	0.0000	54.0541	0.0000	16.2162	0.0000	8.1081	2.7027	12.3333	5.4054	0.0000	5.4054	5.4054	8.1081	13.5135	
15861	18.9655	3.4483	8.6207	0.0000	86.2069	5.1724	10.3448	1.7241	8.6207	1.7241	0.0000	0.0000	1.7241	58.6207	0.0000	13.7931	0.0000	12.0690	6.8966	19.3333	10.3448	0.0000	6.8966	6.8966	1.7241	13.7931	
16301	16.6667	4.1667	12.5000	0.0000	79.1667	0.0000	16.6667	0.0000	4.1667	12.5000	0.0000	0.0000	0.0000	62.5000	0.0000	0.0000	0.0000	12.5000	4.1667	12.0000	16.6667	0.0000	4.1667	4.1667	0.0000	16.6667	
6750	0.0000	0.0000	0.0000	0.0000	100.0000	0.0000	16.6667	0.0000	0.0000	16.6667	0.0000	0.0000	0.0000	50.0000	0.0000	16.6667	0.0000	0.0000	0.0000	6.0000	0.0000	0.0000	0.0000	16.6667	0.0000	0.0000	
19371	9.3750	6.2500	5.2083	0.0000	75.0000	15.6250	9.3750	0.0000	5.2083	7.2917	0.0000	2.0833	0.0000	47.9167	0.0000	25.0000	0.0000	5.2083	4.1667	32.0000	3.1250	1.0417	4.1667	3.1250	2.0833	7.2917	
19391	8.9552	7.4627	0.0000	0.0000	62.6866	7.4627	7.4627	7.4627	11.9403	5.9701	0.0000	0.0000	0.0000	49.2537	0.0000	25.3731	2.9851	7.4627	0.0000	16.7500	5.9701	2.9851	1.4925	2.9851	1.4925	11.9403	
511	17.6471	10.2941	10.2941	0.0000	69.1176	1.4706	14.7059	0.0000	5.8824	1.4706	0.0000	0.0000	0.0000	57.3529	0.0000	19.1176	0.0000	10.2941	5.8824	34.0000	10.2941	0.0000	7.3529	1.4706	0.0000	11.7647	
571	16.3265	6.1224	12.2449	0.0000	79.5918	0.0000	16.3265	0.0000	8.1633	4.0816	0.0000	0.0000	0.0000	55.1020	0.0000	24.4898	2.0408	12.2449	0.0000	12.2500	0.0000	0.0000	4.0816	6.1224	4.0816	10.2041	
