ID	ABSOLUTE_MOD	RELATIVE_MOD
20341	1.0000	0.0101
20411	0.0000	0.0000
20481	0.0000	0.0000
20531	2.0000	0.0370
20571	0.0000	0.0000
1061	0.0000	0.0000
1131	0.0000	0.0000
1441	0.0000	0.0000
1451	0.0000	0.0000
2291	2.0000	0.0260
7371	3.0000	0.0143
13051	2.0000	0.0109
13571	1.0000	0.0769
18161	4.0000	0.0169
18171	0.0000	0.0000
7160	0.0000	0.0000
18191	2.0000	0.0328
18201	4.0000	0.0449
18231	3.0000	0.0176
18381	7.0000	0.0168
20741	2.0000	0.0131
4711	1.0000	0.0120
10481	2.0000	0.0152
10511	1.0000	0.0037
3840	0.0000	0.0000
10531	1.0000	0.0217
15781	1.0000	0.0159
17871	6.0000	0.0124
20241	1.0000	0.0079
20391	0.0000	0.0000
7630	0.0000	0.0000
1041	0.0000	0.0000
1081	1.0000	0.0312
120	0.0000	0.0000
140	0.0000	0.0000
1101	1.0000	0.0169
160	2.0000	0.0488
230	0.0000	0.0000
7321	0.0000	0.0000
7331	0.0000	0.0000
7351	0.0000	0.0000
7451	0.0000	0.0000
7501	0.0000	0.0000
7631	0.0000	0.0000
13041	1.0000	0.0065
13071	0.0000	0.0000
5490	1.0000	0.0417
13361	0.0000	0.0000
14961	1.0000	0.0102
18121	0.0000	0.0000
4601	2.0000	0.0084
10471	0.0000	0.0000
11651	4.0000	0.0212
11991	3.0000	0.0179
4430	0.0000	0.0000
12381	0.0000	0.0000
12391	0.0000	0.0000
4770	0.0000	0.0000
6330	1.0000	0.0127
6950	5.0000	0.0210
6960	3.0000	0.0119
6980	1.0000	0.0132
14751	2.0000	0.0101
6180	3.0000	0.0078
6200	1.0000	0.0238
6730	1.0000	0.0128
16191	0.0000	0.0000
16321	1.0000	0.0104
16861	0.0000	0.0000
17181	1.0000	0.0133
7030	3.0000	0.0273
17581	5.0000	0.0260
7020	4.0000	0.0137
7040	1.0000	0.0049
17691	1.0000	0.0182
15741	1.0000	0.0071
15761	0.0000	0.0000
15791	1.0000	0.0286
15801	0.0000	0.0000
6820	3.0000	0.0612
15971	0.0000	0.0000
15991	2.0000	0.0194
6710	3.0000	0.0278
6830	0.0000	0.0000
16001	0.0000	0.0000
6700	1.0000	0.0222
18131	0.0000	0.0000
20171	0.0000	0.0000
1031	2.0000	0.0345
1261	0.0000	0.0000
1271	0.0000	0.0000
1681	0.0000	0.0000
560	0.0000	0.0000
880	0.0000	0.0000
1640	0.0000	0.0000
1980	0.0000	0.0000
1701	0.0000	0.0000
2050	0.0000	0.0000
1791	0.0000	0.0000
450	0.0000	0.0000
990	0.0000	0.0000
1370	2.0000	0.0145
1851	0.0000	0.0000
1891	0.0000	0.0000
460	1.0000	0.0476
1030	0.0000	0.0000
1931	0.0000	0.0000
890	1.0000	0.0385
1941	0.0000	0.0000
1040	1.0000	0.0164
1110	0.0000	0.0000
1740	0.0000	0.0000
1991	1.0000	0.0294
2031	0.0000	0.0000
2181	1.0000	0.0179
1060	0.0000	0.0000
2231	1.0000	0.0244
2241	0.0000	0.0000
2251	2.0000	0.0417
2261	1.0000	0.0091
2301	0.0000	0.0000
1070	0.0000	0.0000
1530	0.0000	0.0000
2321	0.0000	0.0000
900	1.0000	0.0333
970	1.0000	0.0323
2331	1.0000	0.0159
580	1.0000	0.0333
590	0.0000	0.0000
1340	0.0000	0.0000
1630	0.0000	0.0000
2351	0.0000	0.0000
2361	0.0000	0.0000
1670	0.0000	0.0000
2371	0.0000	0.0000
2411	0.0000	0.0000
2461	0.0000	0.0000
2501	0.0000	0.0000
2511	0.0000	0.0000
2521	0.0000	0.0000
2531	0.0000	0.0000
2541	0.0000	0.0000
2551	0.0000	0.0000
2591	0.0000	0.0000
2611	1.0000	0.0109
2661	0.0000	0.0000
2701	0.0000	0.0000
2871	0.0000	0.0000
2891	3.0000	0.0556
2901	0.0000	0.0000
1970	0.0000	0.0000
2931	0.0000	0.0000
2941	0.0000	0.0000
2951	1.0000	0.0189
2971	0.0000	0.0000
2981	1.0000	0.0128
700	0.0000	0.0000
2991	1.0000	0.0130
3001	0.0000	0.0000
3011	0.0000	0.0000
3021	0.0000	0.0000
810	0.0000	0.0000
3031	0.0000	0.0000
3051	0.0000	0.0000
3061	0.0000	0.0000
3071	2.0000	0.0215
820	0.0000	0.0000
3081	1.0000	0.0118
3131	1.0000	0.0105
3141	0.0000	0.0000
1660	1.0000	0.0357
3181	0.0000	0.0000
3201	1.0000	0.0192
980	0.0000	0.0000
1290	0.0000	0.0000
3251	1.0000	0.0169
3291	0.0000	0.0000
3361	0.0000	0.0000
3381	0.0000	0.0000
910	0.0000	0.0000
1420	0.0000	0.0000
3431	1.0000	0.0069
3461	1.0000	0.0072
3481	1.0000	0.0196
3491	0.0000	0.0000
3551	1.0000	0.0133
3581	1.0000	0.0208
3611	1.0000	0.0118
3641	0.0000	0.0000
3671	2.0000	0.0206
3801	0.0000	0.0000
3831	1.0000	0.0112
3861	0.0000	0.0000
3891	0.0000	0.0000
3911	0.0000	0.0000
1000	1.0000	0.0270
1020	0.0000	0.0000
