ID	DAYS	HOURS	MINUTES
3020	7.0000	148.0000	8824.0000
3040	7.0000	146.0000	8748.0000
3820	3.0000	66.0000	3926.0000
8511	1.0000	9.0000	520.0000
3050	7.0000	146.0000	8711.0000
8531	1.0000	7.0000	378.0000
3060	7.0000	146.0000	8706.0000
3850	3.0000	61.0000	3640.0000
3870	3.0000	61.0000	3602.0000
3880	3.0000	51.0000	3019.0000
8591	1.0000	5.0000	259.0000
8621	1.0000	5.0000	241.0000
3070	7.0000	145.0000	8697.0000
3140	6.0000	139.0000	8339.0000
8631	1.0000	4.0000	238.0000
2780	1.0000	4.0000	188.0000
2900	7.0000	163.0000	9777.0000
8671	1.0000	3.0000	121.0000
2950	7.0000	149.0000	8940.0000
8711	7.0000	168.0000	10053.0000
8891	7.0000	163.0000	9777.0000
3240	6.0000	124.0000	7422.0000
3250	6.0000	124.0000	7413.0000
3270	6.0000	123.0000	7371.0000
3460	5.0000	118.0000	7068.0000
3860	3.0000	61.0000	3634.0000
9011	7.0000	161.0000	9657.0000
9161	7.0000	148.0000	8855.0000
9191	7.0000	148.0000	8832.0000
3010	7.0000	148.0000	8828.0000
3030	7.0000	148.0000	8823.0000
9221	7.0000	146.0000	8742.0000
9241	7.0000	146.0000	8710.0000
9261	7.0000	145.0000	8682.0000
9521	6.0000	134.0000	8026.0000
3230	6.0000	125.0000	7484.0000
3280	6.0000	123.0000	7368.0000
3300	6.0000	123.0000	7323.0000
3320	6.0000	122.0000	7315.0000
9891	5.0000	117.0000	6964.0000
3560	5.0000	108.0000	6442.0000
10011	5.0000	101.0000	6012.0000
10151	4.0000	86.0000	5115.0000
10371	3.0000	69.0000	4082.0000
13441	5.0000	107.0000	6387.0000
13501	5.0000	104.0000	6199.0000
5430	5.0000	104.0000	6192.0000
6310	7.0000	145.0000	8690.0000
6350	6.0000	132.0000	7880.0000
13751	4.0000	81.0000	4841.0000
5980	2.0000	30.0000	1775.0000
14311	2.0000	44.0000	2625.0000
18271	1.0000	3.0000	139.0000
4971	7.0000	149.0000	8928.0000
5271	6.0000	144.0000	8622.0000
5301	6.0000	144.0000	8595.0000
6691	4.0000	74.0000	4413.0000
2020	4.0000	73.0000	4374.0000
6791	3.0000	72.0000	4298.0000
10601	3.0000	57.0000	3407.0000
10721	3.0000	52.0000	3086.0000
10751	3.0000	51.0000	3027.0000
12741	7.0000	147.0000	8801.0000
12861	6.0000	139.0000	8297.0000
16051	2.0000	47.0000	2769.0000
17021	8.0000	174.0000	10405.0000
17051	7.0000	168.0000	10059.0000
17071	7.0000	152.0000	9078.0000
